State_of_Country,Market_Category,Product_Category,Grade,Low_Cap_Price,High_Cap_Price
0,0,0,0,2785,4240
0,1,0,0,3574,4756
0,103,0,1,5978,9669
0,103,0,0,5681,8313
0,103,0,2,4924,7257
0,164,0,0,2508,4792
0,235,0,2,2861,5334
0,301,1,0,2274,3802
0,367,0,0,2363,5265
0,436,0,0,1838,3534
0,450,0,0,2991,4981
0,461,1,0,2431,4083
11,2,0,1,5303,8508
17,13,0,3,332,2312
18,23,10,2,1390,5665
18,23,11,2,4441,10673
18,23,12,2,5779,11170
20,55,0,0,2750,3687
20,73,0,0,1468,2081
20,84,10,0,3493,5407
20,94,0,2,1041,3604
20,104,13,0,1055,4158
20,114,14,0,1756,4078
20,124,0,0,2568,3211
20,131,10,0,2331,6115
20,137,0,0,2447,6591
20,138,0,0,2915,5156
21,141,0,0,3536,4973
21,156,0,0,3945,6078
21,162,0,1,3945,5265
21,165,0,0,2468,3985
21,205,10,0,2615,4123
21,211,0,0,3571,4629
21,220,12,0,3193,4403
22,227,0,0,447,724
23,236,0,0,1320,7873
0,242,0,0,2499,3680
0,0,0,0,2368,4231
0,1,0,0,5230,7878
0,256,0,0,3755,6552
0,268,0,2,1592,4907
0,275,0,0,3144,4133
0,301,1,0,2449,3335
0,283,1,0,1911,3545
0,289,0,2,3480,6816
0,294,0,2,1953,5938
0,436,0,0,1902,3384
0,450,0,0,2354,4806
0,308,0,0,1755,3203
0,461,1,0,2832,4205
0,320,0,0,1860,5149
1,326,1,0,3861,5330
1,334,0,0,2219,2766
1,342,0,0,1627,3009
2,350,1,1,3772,6185
17,358,0,3,2669,14524
17,13,0,3,341,2196
17,363,0,3,377,894
17,368,15,3,5269,15234
18,23,10,2,1385,6114
18,23,11,2,4819,11778
18,23,12,2,5120,13296
20,383,10,1,3331,4734
20,104,13,0,991,4225
20,403,0,0,2495,3803
3,416,1,2,2918,5803
3,423,15,0,2717,7305
3,430,1,2,3239,5058
21,437,0,0,4044,5395
21,441,10,2,3251,4385
21,442,0,1,5190,6927
21,443,0,0,3743,5510
21,444,0,1,3989,5606
21,446,10,0,4331,6685
21,447,0,0,3121,4144
21,448,14,0,3047,4645
21,452,0,0,3609,5322
21,205,10,0,2679,3712
21,453,10,0,4525,6177
0,242,0,0,2258,4061
0,1,0,0,1428,3750
0,262,0,1,3148,4827
0,268,0,2,1850,4707
0,235,0,2,2954,4905
0,294,0,2,1993,3757
0,367,0,0,2658,4847
0,436,0,0,1795,3927
0,450,0,0,2779,4291
1,455,0,0,1358,4158
1,456,1,0,3282,6384
1,326,1,0,2997,6241
1,342,0,0,1982,3752
2,457,1,3,4657,9282
4,458,10,0,5408,7581
4,459,0,0,6050,9081
17,460,15,3,252,416
17,462,0,3,2006,5257
17,358,0,3,2462,12404
18,23,10,0,1352,6450
18,23,12,2,5155,12634
20,55,0,0,3963,5451
20,389,0,1,1812,4464
20,104,13,0,1270,3866
20,463,10,0,1956,4971
20,464,0,0,2323,3116
3,423,15,0,2892,7322
21,437,0,0,3885,5485
21,443,0,0,3653,5239
21,467,0,0,3112,4515
21,447,0,0,3098,4207
21,468,1,2,3928,5598
21,469,0,0,4663,5797
21,470,1,0,2563,3814
21,453,10,0,4818,7038
5,471,0,1,2151,3308
22,227,0,0,522,839
0,454,1,0,2797,5545
0,256,0,0,3070,5434
0,268,0,2,1754,4964
0,275,0,0,3958,4961
0,301,1,0,1421,3972
0,294,0,2,2097,5843
0,320,0,0,1962,4722
1,6,0,0,3727,5803
6,8,0,0,2779,4241
2,350,1,1,3380,6026
17,9,0,3,3568,12265
17,358,0,3,2606,11726
17,10,15,3,520,1210
17,11,0,3,418,627
18,23,10,2,1528,6809
20,55,0,0,3718,5220
20,73,0,0,1253,1779
20,389,0,1,2236,4456
20,114,14,0,1755,4114
20,131,10,0,3795,8480
20,403,0,0,2488,3518
20,407,0,0,2195,5337
3,416,1,2,2733,5738
3,423,15,0,2757,7460
21,437,0,0,3700,5706
21,441,10,2,3539,4551
21,443,0,0,4021,5730
21,444,0,1,4063,5754
21,14,0,0,3254,4275
21,162,0,1,3779,5226
21,165,0,0,2556,3755
21,448,14,0,3394,4168
21,452,0,0,4034,5462
21,469,0,0,4702,5580
0,454,1,0,2725,4977
0,1,0,0,5284,8985
0,268,0,2,1787,4824
0,15,0,2,5177,6859
0,283,1,0,3169,4228
0,294,0,2,2016,4344
0,320,0,0,1373,4098
1,456,1,0,3483,7163
11,16,0,0,3000,4617
4,17,15,0,9029,12734
17,11,0,3,362,647
18,23,10,2,1609,6320
18,23,12,2,5280,12360
20,55,0,0,3564,4920
20,114,14,0,1722,4157
20,403,0,0,2512,3939
21,441,10,2,3589,4931
21,188,10,0,3519,5127
21,452,0,0,3676,5092
21,453,10,0,4858,7076
5,471,0,1,1996,3208
0,256,0,0,2873,6511
0,262,0,1,2933,6035
0,268,0,2,1741,5269
0,301,1,0,1743,2474
0,19,0,1,1258,2421
0,283,1,0,1994,4455
0,294,0,2,2075,5989
0,320,0,0,1851,5169
4,20,16,0,7210,13915
17,9,0,3,4703,12438
17,358,0,3,3253,14657
20,55,0,0,2255,5302
20,403,0,0,2515,3777
3,416,1,2,2829,5907
3,423,15,0,3146,7454
21,437,0,0,4016,5776
21,443,0,0,4110,5257
21,444,0,1,4108,5834
21,162,0,1,3644,5327
21,447,0,0,3118,4470
21,24,10,0,3739,4786
21,468,1,2,3979,5750
21,449,0,0,3006,4553
21,188,10,0,3538,4818
21,452,0,0,3995,5369
21,470,1,0,2857,3901
21,453,10,0,4563,6621
5,471,0,1,2059,3362
0,0,0,0,2379,4811
0,3,0,0,2233,3930
0,250,0,2,2461,6447
0,235,0,2,3044,5460
0,15,0,2,1875,6886
0,26,1,2,1818,2910
0,294,0,2,1846,6089
0,315,10,2,3192,4644
0,320,0,0,1529,5266
20,55,0,0,4372,5267
20,407,0,0,2243,3921
21,443,0,0,3904,5638
21,188,10,0,3601,4924
21,469,0,0,4132,5763
21,205,10,0,2737,4136
0,0,0,0,2812,4772
0,250,0,2,4648,5939
0,164,0,0,2319,4123
0,15,0,2,7706,9452
0,301,1,0,2073,2946
0,320,0,0,1739,4565
1,342,0,0,1655,3963
17,460,15,3,661,1296
17,358,0,3,2377,12818
19,44,13,1,6437,11084
20,55,0,0,3865,5735
20,64,0,2,4162,5617
20,21,1,0,1504,3169
20,94,0,0,1226,4528
20,124,0,0,3386,4521
20,30,13,1,2277,3549
3,423,15,0,3034,7067
21,441,10,2,3705,4729
21,141,0,0,3559,4732
21,443,0,0,4171,5601
21,445,0,0,2429,4049
21,446,10,0,4358,6645
21,448,14,0,3287,4969
21,24,10,0,3705,4897
21,469,0,0,4306,6136
0,0,0,0,2515,4049
0,1,0,0,1490,5865
0,268,0,2,1667,5541
0,235,0,2,3096,5774
0,15,0,2,2104,6633
0,283,1,0,2848,4721
0,315,10,2,3508,4662
17,9,0,3,7258,11265
17,358,0,3,2612,14496
17,11,0,3,405,728
20,55,0,0,3970,5770
20,94,0,0,967,4683
20,104,13,0,1233,5362
20,124,0,0,2958,4143
20,131,10,0,4152,7245
20,403,0,0,2554,3751
20,407,0,0,2416,4719
3,423,15,0,2691,7729
21,437,0,0,3906,5559
21,443,0,0,4109,5353
